month,scenario,buyout_nights,room_utilization,buyout_revenue,room_revenue,total_revenue,variable_costs,occupied_room_nights,supplies,management,fixed_opex,property_tax,total_opex,monthly_noi,annualized_noi,annual_debt_service,annual_cash_flow,dscr,coc_return
1,Low,4,0.35,12000,32760,44760,5819,52.4,0,3581,3500,437,13337,31423,377076,83748,293328,4.50,0.748
1,Base,6,0.55,18000,47520,65520,8518,76.8,0,5242,3500,437,17697,47823,573876,83748,490128,6.85,1.251
1,High,8,0.65,24000,51480,75480,9812,89.2,0,6038,3500,437,19787,55693,668316,83748,584568,7.98,1.491
2,Low,4,0.35,12000,32760,44760,5819,52.4,0,3581,3500,437,13337,31423,377076,83748,293328,4.50,0.748
2,Base,6,0.55,18000,47520,65520,8518,76.8,0,5242,3500,437,17697,47823,573876,83748,490128,6.85,1.251
2,High,8,0.65,24000,51480,75480,9812,89.2,0,6038,3500,437,19787,55693,668316,83748,584568,7.98,1.491
3,Low,4,0.35,12000,32760,44760,5819,52.4,0,3581,3500,437,13337,31423,377076,83748,293328,4.50,0.748
3,Base,6,0.55,18000,47520,65520,8518,76.8,0,5242,3500,437,17697,47823,573876,83748,490128,6.85,1.251
3,High,8,0.65,24000,51480,75480,9812,89.2,0,6038,3500,437,19787,55693,668316,83748,584568,7.98,1.491
4,Low,4,0.35,12000,32760,44760,5819,52.4,0,3581,3500,437,13337,31423,377076,83748,293328,4.50,0.748
4,Base,6,0.55,18000,47520,65520,8518,76.8,0,5242,3500,437,17697,47823,573876,83748,490128,6.85,1.251
4,High,8,0.65,24000,51480,75480,9812,89.2,0,6038,3500,437,19787,55693,668316,83748,584568,7.98,1.491
5,Low,4,0.35,12000,32760,44760,5819,52.4,0,3581,3500,437,13337,31423,377076,83748,293328,4.50,0.748
5,Base,6,0.55,18000,47520,65520,8518,76.8,0,5242,3500,437,17697,47823,573876,83748,490128,6.85,1.251
5,High,8,0.65,24000,51480,75480,9812,89.2,0,6038,3500,437,19787,55693,668316,83748,584568,7.98,1.491
6,Low,4,0.35,12000,32760,44760,5819,52.4,0,3581,3500,437,13337,31423,377076,83748,293328,4.50,0.748
6,Base,6,0.55,18000,47520,65520,8518,76.8,0,5242,3500,437,17697,47823,573876,83748,490128,6.85,1.251
6,High,8,0.65,24000,51480,75480,9812,89.2,0,6038,3500,437,19787,55693,668316,83748,584568,7.98,1.491
7,Low,4,0.35,12000,32760,44760,5819,52.4,0,3581,3500,437,13337,31423,377076,83748,293328,4.50,0.748
7,Base,6,0.55,18000,47520,65520,8518,76.8,0,5242,3500,437,17697,47823,573876,83748,490128,6.85,1.251
7,High,8,0.65,24000,51480,75480,9812,89.2,0,6038,3500,437,19787,55693,668316,83748,584568,7.98,1.491
8,Low,4,0.35,12000,32760,44760,5819,52.4,0,3581,3500,437,13337,31423,377076,83748,293328,4.50,0.748
8,Base,6,0.55,18000,47520,65520,8518,76.8,0,5242,3500,437,17697,47823,573876,83748,490128,6.85,1.251
8,High,8,0.65,24000,51480,75480,9812,89.2,0,6038,3500,437,19787,55693,668316,83748,584568,7.98,1.491
9,Low,4,0.35,12000,32760,44760,5819,52.4,0,3581,3500,437,13337,31423,377076,83748,293328,4.50,0.748
9,Base,6,0.55,18000,47520,65520,8518,76.8,0,5242,3500,437,17697,47823,573876,83748,490128,6.85,1.251
9,High,8,0.65,24000,51480,75480,9812,89.2,0,6038,3500,437,19787,55693,668316,83748,584568,7.98,1.491
10,Low,4,0.35,12000,32760,44760,5819,52.4,0,3581,3500,437,13337,31423,377076,83748,293328,4.50,0.748
10,Base,6,0.55,18000,47520,65520,8518,76.8,0,5242,3500,437,17697,47823,573876,83748,490128,6.85,1.251
10,High,8,0.65,24000,51480,75480,9812,89.2,0,6038,3500,437,19787,55693,668316,83748,584568,7.98,1.491
11,Low,4,0.35,12000,32760,44760,5819,52.4,0,3581,3500,437,13337,31423,377076,83748,293328,4.50,0.748
11,Base,6,0.55,18000,47520,65520,8518,76.8,0,5242,3500,437,17697,47823,573876,83748,490128,6.85,1.251
11,High,8,0.65,24000,51480,75480,9812,89.2,0,6038,3500,437,19787,55693,668316,83748,584568,7.98,1.491
12,Low,4,0.35,12000,32760,44760,5819,52.4,0,3581,3500,437,13337,31423,377076,83748,293328,4.50,0.748
12,Base,6,0.55,18000,47520,65520,8518,76.8,0,5242,3500,437,17697,47823,573876,83748,490128,6.85,1.251
12,High,8,0.65,24000,51480,75480,9812,89.2,0,6038,3500,437,19787,55693,668316,83748,584568,7.98,1.491
